keyword,title,authors,year,url,abstract,relevant
Autonomous AIOps agents,"A Joint Study of the Challenges, Opportunities, and Roadmap of MLOps and AIOps: A Systematic Survey","Josu Díaz-de-Arcaya, Ana I. Torre-Bastida, Gorka Zárate, Raúl Miñón, Aitor Almeida",2023,https://doi.org/10.1145/3625289,"Data science projects represent a greater challenge than software engineering for organizations pursuing their adoption. The diverse stakeholders involved emphasize the need for a collaborative culture in organizations. This article aims to offer joint insights into the role of MLOps and AIOps methodologies for raising the success of data science projects in various fields, ranging from pure research to more traditional industries. We analyze the open issues, opportunities, and future trends organizations face when implementing MLOps and AIOps. Then, the frameworks and architectures that promote these paradigms are presented, as are the different fields in which they are being utilized. This systematic review was conducted using an automated procedure that identified 44,903 records, which were filtered down to 93 studies. These articles are meant to better clarify the problem at hand and highlight the future areas in both research and industry in which MLOPs and AIOps are thriving. Our findings indicate that AIOps flourish in challenging circumstances like those presented by 5G and 6G technologies, whereas MLOps is more prevalent in traditional industrial environments. The use of AIOps in certain stages of the ML lifecycle, such as deployment, remains underrepresented in scientific literature.",Y
Autonomous AIOps agents,Security and Trust in the 6G Era,"Volker Ziegler, Peter Schneider, Harish Viswanathan, Michael Montag, Satish Kanugovi, Ali Rezaki",2021,https://doi.org/10.1109/access.2021.3120143,"A comprehensive set of security technology enablers will be critically required for communication systems for the 6G era of the 2030s. Trustworthiness must be assured across IoT, heterogenous cloud and networks, devices, sub-networks, and applications. The 6G threat vector will be defined by 6G architectural disaggregation, open interfaces and an environment with multiple stakeholders. Broadly decomposed into domains of cyber-resilience, privacy and trust and their respective intersection, we explore relevant security technology enablers including automated software creation and automated closed-loop security operation, privacy preserving technologies, hardware and cloud embedded anchors of trust, quantum-safe security, jamming protection and physical layer security as well as distributed ledger technologies. Artificial intelligence and machine learning (AI/ML) as a key technology enabler will be pervasive and of pivotal relevance across the security technology stack and architecture. A novel vision for a trustworthy Secure Telecom Operation Map is developed as part of the automated closed loop operations paradigm.",Y
LLM-based incident remediation,From ChatGPT to ThreatGPT: Impact of Generative AI in Cybersecurity and Privacy,"Maanak Gupta, Charankumar Akiri, Kshitiz Aryal, Eli Parker, Lopamudra Praharaj",2023,https://doi.org/10.1109/access.2023.3300381,"Undoubtedly, the evolution of Generative AI (GenAI) models has been the highlight of digital transformation in the year 2022. As the different GenAI models like ChatGPT and Google Bard continue to foster their complexity and capability, it’s critical to understand its consequences from a cybersecurity perspective. Several instances recently have demonstrated the use of GenAI tools in both the defensive and offensive side of cybersecurity, and focusing on the social, ethical and privacy implications this technology possesses. This research paper highlights the limitations, challenges, potential risks, and opportunities of GenAI in the domain of cybersecurity and privacy. The work presents the vulnerabilities of ChatGPT, which can be exploited by malicious users to exfiltrate malicious information bypassing the ethical constraints on the model. This paper demonstrates successful example attacks like Jailbreaks, reverse psychology, and prompt injection attacks on the ChatGPT. The paper also investigates how cyber offenders can use the GenAI tools in developing cyber attacks, and explore the scenarios where ChatGPT can be used by adversaries to create social engineering attacks, phishing attacks, automated hacking, attack payload generation, malware creation, and polymorphic malware. This paper then examines defense techniques and uses GenAI tools to improve security measures, including cyber defense automation, reporting, threat intelligence, secure code generation and detection, attack identification, developing ethical guidelines, incidence response plans, and malware detection. We will also discuss the social, legal, and ethical implications of ChatGPT. In conclusion, the paper highlights open challenges and future directions to make this GenAI secure, safe, trustworthy, and ethical as the community understands its cybersecurity impacts.",Y
LLM-based incident remediation,LLM-Based Autonomous Remediation for DevSecOps Pipelines,Roshan Kakarla,2024,https://doi.org/10.58812/esiscs.v2i02.856,"Modern DevSecOps pipelines operate at a scale and velocity that exceeds the cognitive and operational capacity of traditional rule-based automation and human-centric incident response. While monitoring, alerting, and security scanning tools have matured, remediation remains largely manual, fragmented, and reactive resulting in prolonged mean time to resolution (MTTR), configuration drift, and governance gaps. This paper proposes a novel LLM-Based Autonomous Remediation Framework (LLM-ARF) that introduces a risk-aware, policy-governed control plane for automated detection, diagnosis, and remediation across DevSecOps pipelines. Unlike existing approaches that rely on static runbooks or narrow AI classifiers, LLM-ARF integrates large language models as reasoning agents embedded within a constrained, auditable, and human-supervised execution loop. The framework explicitly separates cognition, decision authority, and actuation, enabling scalable autonomy while preserving accountability and compliance. We present the architectural design, lifecycle control flow, and governance mechanisms of LLM-ARF, and evaluate its operational impact using real-world DevOps metrics such as MTTR reduction, alert fatigue mitigation, and toil reduction. The results demonstrate that LLM-ARF enables a step-function improvement in remediation reliability without compromising safety or human oversight, positioning autonomous remediation as a viable next evolution of enterprise DevSecOps systems.",Y
LLM-based incident remediation,Towards a standard for identifying and managing bias in artificial intelligence,"Reva Schwartz, Apostol Vassilev, Kristen Greene, Lori Perine, Andrew Burt, Patrick Hall",2022,https://doi.org/10.6028/nist.sp.1270,"As individuals and communities interact in and with an environment that is increasingly virtual they are often vulnerable to the commodification of their digital exhaust. Concepts and behavior that are ambiguous in nature are captured in this environment, quantified, and used to categorize, sort, recommend, or make decisions about people's lives. While many organizations seek to utilize this information in a responsible manner, biases remain endemic across technology processes and can lead to harmful impacts regardless of intent. These harmful outcomes, even if inadvertent, create significant challenges for cultivating public trust in artificial intelligence (AI). SP 1270 is a NIST Artificial Intelligence publication and should be read in conjunction with all publications in the NIST AI Series, which was established in January 2023.",Y
LLM-based incident remediation,When LLMs meet cybersecurity: a systematic literature review,"Jie Zhang, H. Bu, Hui Wen, Yongji Liu, Haiqiang Fei, Rongrong Xi, Lun Li, Yun Yang, Hongsong Zhu, Dan Meng",2025,https://doi.org/10.1186/s42400-025-00361-w,"Abstract The rapid development of large language models (LLMs) has opened new avenues across various fields, including cybersecurity, which faces an evolving threat landscape and demand for innovative technologies. Despite initial explorations into the application of LLMs in cybersecurity, there is a lack of a comprehensive overview of this research area. This paper addresses this gap by providing a systematic literature review, covering the analysis of over 300 works, encompassing 25 LLMs and more than 10 downstream scenarios. Our comprehensive overview addresses three key research questions: the construction of cybersecurity-oriented LLMs, the application of LLMs to various cybersecurity tasks, the challenges and further research in this area. This study aims to shed light on the extensive potential of LLMs in enhancing cybersecurity practices and serve as a valuable resource for applying LLMs in this field. We also maintain and regularly update a list of practical guides on LLMs for cybersecurity at https://github.com/tmylla/Awesome-LLM4Cybersecurity .",Y
LLM-based incident remediation,Artificial intelligence risk management framework :,National Institute of Standards and Technology (US),2024,https://doi.org/10.6028/nist.ai.600-1,"This document is a cross-sectoral profile of and companion resource for the AI Risk Management Framework (AI RMF 1.0) for Generative AI, 1 pursuant to President Biden’s Executive Order (EO) 14110 on Safe, Secure, and Trustworthy Artificial Intelligence.2 The AI RMF was released in January 2023, and is intended for voluntary use and to improve the ability of organizations to incorporate trustworthiness considerations into the design, development, use, and evaluation of AI products, services, and systems.",Y
LLM-based incident remediation,"Generative AI for Cyber Security: Analyzing the Potential of ChatGPT, DALL-E, and Other Models for Enhancing the Security Space","Siva Sai, Utkarsh Yashvardhan, Vinay Chamola, Biplab Sikdar",2024,https://doi.org/10.1109/access.2024.3385107,"This research paper intends to provide real-life applications of Generative AI (GAI) in the cybersecurity domain. The frequency, sophistication and impact of cyber threats have continued to rise in today’s world. This ever-evolving threat landscape poses challenges for organizations and security professionals who continue looking for better solutions to tackle these threats. GAI technology provides an effective way for them to address these issues in an automated manner with increasing efficiency. It enables them to work on more critical security aspects which require human intervention, while GAI systems deal with general threat situations. Further, GAI systems can better detect novel malware and threatening situations than humans. This feature of GAI, when leveraged, can lead to higher robustness of the security system. Many tech giants like Google, Microsoft etc., are motivated by this idea and are incorporating elements of GAI in their cybersecurity systems to make them more efficient in dealing with ever-evolving threats. Many cybersecurity tools like Google Cloud Security AI Workbench, Microsoft Security Copilot, SentinelOne Purple AI etc., have come into the picture, which leverage GAI to develop more straightforward and robust ways to deal with emerging cybersecurity perils. With the advent of GAI in the cybersecurity domain, one also needs to take into account the limitations and drawbacks that such systems have. This paper also provides some of the limitations of GAI, like periodically giving wrong results, costly training, the potential of GAI being used by malicious actors for illicit activities etc.",Y
LLM-based incident remediation,"From COBIT to ISO 42001: Evaluating cybersecurity frameworks for opportunities, risks, and regulatory compliance in commercializing large language models","Timothy R. McIntosh, Teo Sušnjak, Tong Liu, Paul Watters, Dan Xu, Dongwei Liu, Raza Nowrozy, Malka N. Halgamuge",2024,https://doi.org/10.1016/j.cose.2024.103964,"This study investigated the integration readiness of four predominant cybersecurity Governance, Risk and Compliance (GRC) frameworks - NIST CSF 2.0, COBIT 2019, ISO 27001:2022, and the latest ISO 42001:2023 - for the opportunities, risks, and regulatory compliance when adopting Large Language Models (LLMs), using qualitative content analysis and expert validation. Our analysis, with both LLMs and human experts in the loop, uncovered potential for LLM integration together with inadequacies in LLM risk oversight of those frameworks. Comparative gap analysis has highlighted that the new ISO 42001:2023, specifically designed for Artificial Intelligence (AI) management systems, provided most comprehensive facilitation for LLM opportunities, whereas COBIT 2019 aligned most closely with the European Union AI Act. Nonetheless, our findings suggested that all evaluated frameworks would benefit from enhancements to more effectively and more comprehensively address the multifaceted risks associated with LLMs, indicating a critical and time-sensitive need for their continuous evolution. We propose integrating human-expert-in-the-loop validation processes as crucial for enhancing cybersecurity frameworks to support secure and compliant LLM integration, and discuss implications for the continuous evolution of cybersecurity GRC frameworks to support the secure integration of LLMs.",Y
LLM-based incident remediation,"Synergizing Generative AI and Cybersecurity: Roles of Generative AI Entities, Companies, Agencies, and Government in Enhancing Cybersecurity","Pan Dhoni, Ravinder Kumar",2023,https://doi.org/10.36227/techrxiv.23968809.v1,"&lt;p&gt;The digital landscape of the modern world has witnessed a remarkable evolution over the past few decades, with technological advancements permeating every facet of our lives. While these innovations have brought forth unprecedented convenience and connectivity, they have also exposed society to new vulnerabilities. Cybercrimes have surged in both frequency and sophistication, punctuating the digital era with high-profile incidents that have shaken industries and nations. Recent history serves as a stark reminder of the potential havoc that cybercriminals can unleash upon critical infrastructure, as exemplified by the notorious Colonial Pipeline breach, where a malevolent actor manipulated digital systems to demand ransom in the form of cryptocurrency.&lt;/p&gt; &lt;p&gt;Traditionally, cybercriminal endeavors necessitated a specialized skill set and an in-depth understanding of intricate technological nuances. However, the landscape has transformed dramatically with the emergence of Generative Artificial Intelligence (AI). Previously the domain of highly specialized engineers, the tools required to orchestrate cybercrimes have become increasingly accessible due to the proliferation of advanced AI models such as ChatGPT and other modern Large Language Models (LLMs). These AI-driven capabilities have lowered the entry barrier for potential wrongdoers, enabling individuals with even basic technical aptitude to partake in cybercriminal activities.&lt;/p&gt; &lt;p&gt;A cursory glance at contemporary news headlines underscores the growing ubiquity of cybercrimes. A relentless surge in cyberattacks serves as an alarming indication of the escalating threat posed by malicious actors in the digital realm. As each year unfolds, instances of cybercrime proliferate, impacting individuals, corporations, and governments alike. This trend signals a pressing need to comprehend the intersection between Generative AI and cybersecurity – a convergence that holds the potential to reshape the dynamics of digital malfeasance and defense.&lt;/p&gt; &lt;p&gt;This research paper embarks on a journey to explore the intricate relationship between Generative AI and cybersecurity. Delving into the realm of AI-driven creativity and manipulation, we examine how the advent of Generative AI technologies has facilitated a paradigm shift in the landscape of cyber threats. As we navigate through this exploration, we unravel the challenges and opportunities that arise from this dynamic interplay. By delving into case studies, examining emerging trends, and scrutinizing potential countermeasures, this paper aims to shed light on the novel dimensions of cybersecurity in the era of Generative AI. Through a comprehensive analysis, we aim to equip readers with an informed understanding of the evolving cybersecurity landscape and the critical role that Generative AI plays therein.&lt;/p&gt;",Y
LLM-based incident remediation,From Vulnerability to Defense: The Role of Large Language Models in Enhancing Cybersecurity,"Wafaa Kasri, Yassine Himeur, Hamzah Ali Alkhazaleh, Saed Tarapiah, Shadi Atalla, Wathiq Mansoor, Hussain Al-Ahmad",2025,https://doi.org/10.3390/computation13020030,"The escalating complexity of cyber threats, coupled with the rapid evolution of digital landscapes, poses significant challenges to traditional cybersecurity mechanisms. This review explores the transformative role of LLMs in addressing critical challenges in cybersecurity. With the rapid evolution of digital landscapes and the increasing sophistication of cyber threats, traditional security mechanisms often fall short in detecting, mitigating, and responding to complex risks. LLMs, such as GPT, BERT, and PaLM, demonstrate unparalleled capabilities in natural language processing, enabling them to parse vast datasets, identify vulnerabilities, and automate threat detection. Their applications extend to phishing detection, malware analysis, drafting security policies, and even incident response. By leveraging advanced features like context awareness and real-time adaptability, LLMs enhance organizational resilience against cyberattacks while also facilitating more informed decision-making. However, deploying LLMs in cybersecurity is not without challenges, including issues of interpretability, scalability, ethical concerns, and susceptibility to adversarial attacks. This review critically examines the foundational elements, real-world applications, and limitations of LLMs in cybersecurity while also highlighting key advancements in their integration into security frameworks. Through detailed analysis and case studies, this paper identifies emerging trends and proposes future research directions, such as improving robustness, addressing privacy concerns, and automating incident management. The study concludes by emphasizing the potential of LLMs to redefine cybersecurity, driving innovation and enhancing digital security ecosystems.",Y
LLM-based incident remediation,"Gemini versus ChatGPT: applications, performance, architecture, capabilities, and implementation","Nitin Rane, Saurabh Choudhary, Jayesh Rane",2024,https://doi.org/10.48185/jaai.v5i1.1052,"This research paper presents an in-depth comparative examination of Gemini and ChatGPT, two prominent conversational AI models, exploring their respective applications, performance metrics, architectural variances, and overall capabilities. As conversational AI becomes increasingly prevalent across industries, comprehending the nuances of these models becomes pivotal for effective deployment. The paper initiates by outlining the wide array of applications for both Gemini and ChatGPT, spanning industries such as customer service, construction, finance, education, healthcare, and entertainment. It analyzes how each model addresses specific use cases, emphasizing their flexibility and potential impact across different sectors. Following this, the study assesses the performance of Gemini and ChatGPT through both empirical benchmarks and real-world deployment scenarios. Key metrics, including response coherence, accuracy, latency, and scalability, are scrutinized to gauge the models' ability to generate contextually appropriate and coherent responses in conversational contexts. Moreover, the paper elucidates the architectural distinctions between Gemini and ChatGPT, covering variances in training methodologies, model architectures, and underlying technologies. Understanding these architectural nuances provides deeper insights into the computational mechanisms underpinning each model's performance. Lastly, the paper explores the capabilities of Gemini and ChatGPT in handling complex linguistic phenomena, deciphering user intents, and sustaining engaging dialogues over prolonged interactions. This discussion encompasses language generation, sentiment analysis, context retention, and ethical considerations, shedding light on the potential of these models to facilitate meaningful human-computer interactions. Through this thorough comparative analysis, the research contributes to the ongoing conversation surrounding conversational AI systems. It offers valuable insights into the strengths and limitations of Gemini and ChatGPT, empowering stakeholders to make informed decisions regarding their optimal utilization across diverse applications.",Y
Zero-touch IT operations framework,AI-Driven Zero Touch Network and Service Management in 5G and Beyond: Challenges and Research Directions,"Chafika Benzaïd, Tarik Taleb",2020,https://doi.org/10.1109/mnet.001.1900252,"The foreseen complexity in operating and managing 5G and beyond networks has propelled the trend toward closed-loop automation of network and service management operations. To this end, the ETSI Zero-touch network and Service Management (ZSM) framework is envisaged as a next-generation management system that aims to have all operational processes and tasks executed automatically, ideally with 100 percent automation. Artificial Intelligence (AI) is envisioned as a key enabler of self-managing capabilities, resulting in lower operational costs, accelerated time-tovalue and reduced risk of human error. Nevertheless, the growing enthusiasm for leveraging AI in a ZSM system should not overlook the potential limitations and risks of using AI techniques. The current paper aims to introduce the ZSM concept and point out the AI-based limitations and risks that need to be addressed in order to make ZSM a reality.",Y
Zero-touch IT operations framework,ZSM Security: Threat Surface and Best Practices,"Chafika Benzaïd, Tarik Taleb",2020,https://doi.org/10.1109/mnet.001.1900273,"The ETSI's Zero touch network and Service Management (ZSM) framework is a prominent initiative to tame the envisioned complexity in operating and managing 5G and beyond networks. To this end, the ZSM framework promotes the shift toward full Automation of Network and Service Management and Operation (ANSMO) by leveraging the flexibility of SDN/NFV technologies along with Artificial Intelligence, combined with the portability and reusability of model-driven, open interfaces. Besides its benefits, each leveraged enabler will bring its own security threats, which should be carefully tackled to make the ANSMO vision a reality. This paper introduces the ZSM's potential attack surface and recommends possible mitigation measures along with some research directions to safeguard ZSM system security.",Y
Zero-touch IT operations framework,Enabling Zero-Touch Operations in Telecom: The Convergence of Agentic AI and Advanced DevOps for OSS/BSS Ecosystems,Shabrinath Motamary,2022,https://doi.org/10.53555/ks.v10i2.3833,"Zero-touch networks and services design and management have been studied both in academia and industry. This text focuses on the overall operation of the telecom field, especially on operations support systems and business support systems. The traditional telecom OSS/BSS ecosystem has been observed as being too complex and evolving slowly. This has impacted service providers in a variety of business and technological aspects. This text explains the new OSS/BSS ecosystem, its fundamental components, AI’s critical role, the need for a new AI paradigm, and its advanced implementation during a service provider’s zero-touch OSS/BSS transformation journey. The future of a zero-touch telecom OSS/BSS ecosystem is analyzed. The telecom industry is transitioning to zero-touch network and services across the whole telecom ecosystem including the network operating environment (network operation, deployment, and maintenance);services;business. This text focuses on the first one: zero-touch OSS/BSS, the evolution of the telecom OSS/BSS ecosystem, and the convergence of advanced DevOps and agentic AI. Zero-touch OSS/BSS can automate and orchestrate complex engineering tasks without human intervention. This allows a multitude of technologies and subsystems in the OSS/BSS ecosystem to collaborate in a multi-domain way. This allows for the entire OSS/BSS ecosystem to deliver fully autonomous, intelligent, and high-velocity operation capabilities. Exponential growth of complexity in service providers’ OSS/BSS ecosystems (demand for complex and sophisticated capabilities, emergent requirements from multi-partner collaboration, diversifying applications of emerging technologies). Underlying reasons include: Slow evolution leading to technology and system siloed issues; Tendencies of building orchestration-centric OSS/BSS systems. The need for a new OSS/BSS ecosystem (digital transformation requires a paradigm shift). The only viable option is to completely overhaul the OSS/BSS ecosystem: Construction principles (augmented intelligence, DAO, service-centric), and Technical framework (OSS/BSS architecture stack).",Y
