Title,Summary
"From Coding to Curation: Reconfiguring Software Engineering Roles amid Generative AI, Low-Code/No-Code Platforms, and AIOps","Context: The incorporation of generative artificial intelligence, low-code and no-code platforms, and AIOps-based practices has been producing relevant transformations in software …"
"… AND OBSERVABILITY-DRIVEN RELIABILITY IN VOLATILE FINANCIAL SYSTEMS: INTEGRATING SRE, MLOPS, AND AIOPS FOR CONTINUOUS UPTIME","Financial systems operate at the intersection of extreme transactional velocity, regulatory pressure, algorithmic decision-making, and unpredictable macroeconomic shocks. In such an …"
"AI-Driven Release Agents: Leveraging Aiops And Generative AI Frameworks For Predictive And Reliable Software Delivery","The integration of AIOps and Generative AI models has radically altered the software release management workflow by adding intelligent agents to it that can autonomously make …"
"Techniques to Improve the Parsing of Unstructured Logs for AIOps","… AIOps—they provide the fundamental data on system events, user activities, and performance metrics that AIOps … , scalability, and effectiveness of AIOps. This thesis develops novel …"
"TAMO-FoA: Tool-Augmented AIOps for Reliable RCA in Cloud-Native Systems","… that fundamentally outpace human and traditional AIOps capabilities. This creates a critical … To address these challenges, the field of Artificial Intelligence for IT Operations (AIOps) has …"
"[PDF] Event Noise Reduction and Alert Prioritization Using Natural Language Processing in AIOps","Enterprise IT infrastructures have grown increasingly complex, dynamic, and distributed, resulting in the generation of massive volumes of system events, alerts, and log data. While …"
"[HTML] SHAPING THE FUTURE: TOP DEVOPS TRENDS TO WATCH IN 2025","… shape the evolution of DevOps in 2025: AIOps, DevSecOps, serverless architecture, MLOps, … The emergence of Generative AI within AIOps tools is significantly changing how anomalies …"
"[PDF] A Review of Artificial Intelligence Applications in Cloud Operations: Automation, Optimization, and Future Directions","… explores how AI is being used in cloud processes over the years, starting with an on-premises origin to a distributed model, edge model, and hybrid models and explains how AIOps is …"
"[PDF] AI-Enhanced DevSecOps Pipelines: ChatOps, Compliance Automation, and Intelligent Incident Response","… The study positioned AIOps and MLOps convergence as the logical successor to DevOps, forming the foundation for AI-driven DevSecOps ecosystems capable of self-diagnosis and …"
"DevSecPrivacyAIOps: An integrated framework for intelligent security, privacy, and operations in modern software development","… We introduce a complete approach comprising mathematical models for AIOps intelligence quotient, privacy protection efficacy, and risk assessment. Over a 12-month implementation …"
"ARTIFICIAL INTELLIGENCE INTEGRATION IN IT OPERATIONS FOR SMARTER SYSTEM MANAGEMENT","… Consequently, the integration of AI within ITOps― commonly referred to as AIOps―has gained significant attention in both academic and industrial circles. AIOps platforms leverage …"
"Enterprise Cloud Infrastructure Evolution: from Manual Operations to AI-Driven Autonomous Systems","… This comprehensive review examines the convergence of infrastructure-as-code, platform engineering, AIOps, and emerging technologies in shaping contemporary enterprise cloud …"
"Artificial intelligence for IT operations and operations","… (2021) address barriers to AIOps adoption and advocate for collaborative efforts to unify … or network analysis in evaluating the state of AIOps literature among reviewed publications. …"
"Enhancing AIOps with LILT: A LoRA-Based Incremental Learning Transformer for Robust Adaptation to Concept Drift","With the widespread application of artificial intelligence technology in the field of operations and maintenance, AIOps (Artificial Intelligence for IT Operations) has become a key …"
"[PDF] Human-Computer Harmonic AIOps: Musical Encoding of Battery Health Metrics in Cloud-Native Monitoring","This study introduces a novel AIOps framework that leverages musical encoding to monitor battery health in cloud-native systems. By transforming complex battery metrics into auditory …"
"MS-TDNet: Multi-Scale Feature-Based Network for Time Series Anomaly Detection in AIOps","To address the complexity and dynamic challenges of anomaly detection in multi-source heterogeneous time series data in AIOps, this study proposes a deep network model based on …"
"Exploring the Integration of Artificial Intelligence and DevOps for Agile Product Development","… ” is addressed through an exploration of the adoption of AI and machine learning algorithms, the challenges associated with their integration, and the emergence of concepts like AIOps …"
"[PDF] The Innovation: Agentic AIOps: Building Autonomous SRE","… This chapter establishes the foundational understanding of Agentic AIOps by tracing the … A formal definition of Agentic AIOps is presented, distinguishing it from conventional AIOps …"
"AI-Driven Observability in Hybrid-Cloud SAP Ecosystems: Utilizing Machine Learning for Proactive Anomaly Detection and Self-Healing Infrastructure.","… The AIOps platforms, through intelligent automation and predictive analytics, bridge this gap. The Neural Digital Twin design generates a virtual version that, like a human, keeps …"
"A Review of Machine Learning Approaches for Real-Time Alerting in Service Level Objective Monitoring","… The related research in AIOps regarding SLO alerting breaches is limited. Therefore, the … The review in this research expands the earlier AIOps survey results [1] with online and offline …"
"[PDF] Exploring the Impact of AI on Reducing IT Downtime and System Failures","… One of the most impactful developments in this space has been the emergence of AIOps. AIOps platforms use machine learning algorithms to analyze vast amounts of data from various …"
"AI-Driven Cloud Infrastructure Provisioning: Leveraging Machine Learning, Observability, and IaC for Autonomous Cloud Operations","This study examines how Artificial Intelligence (AI) transforms the cloud infrastructure provisioning process, a fundamental element of contemporary IT management. Organizations can …"
"AI-Augmented Software Engineering for Rapid Feature Delivery and Operations Automation","… In deployments akin to our setting, these AIOps practices also support post-release regression analysis (eg, highlighting performance hotspots from traces) and capacity planning via …"
"Integrating AI with Cloud Computing: Architecture, Benefits, and Emerging Innovations","… article will also discuss how AI technology can enhance Cloud environments through automation, predictive analytics, improved data management, and tools such as Chatbot and AIOps…"
"The evolution of AI in software quality and cloud management: A framework for autonomous systems","… AIOps represents the integration of artificial intelligence into operational processes, … Contemporary research in cloud computing journals highlights that AIOps platforms have evolved …"
"A Survey on AgentOps: Categorization, Challenges, and Future Directions","… We advocate for a hybrid approach that integrates established AIOps methodologies with emerging, agent-specific diagnostic techniques. This layered strategy allows us to apply the …"
"[PDF] AI-Powered Observability Platforms for End-to-End Visibility in Distributed Enterprise Systems","… Furthermore, integration with AIOps frameworks allows observability platforms to trigger automated remediation actions, such as restarting failed services or reallocating resources, …"
"DeLSTM-AE: A Decomposition-Driven Framework for Univariate Time Series Anomaly Detection","… This study uses the publicly available AIOps 2018 dataset [25], published as part of the AIOps Anomaly Detection Challenge by Tsinghua University in collaboration with major internet …"
"[PDF] Machine Learning Techniques for Anomaly Detection in Cloud and Hybrid IT Environments","… As cloud adoption continues to accelerate, ML-driven anomaly detection is becoming a foundational capability for intelligent IT operations (AIOps), automated incident response, and …"
"[PDF] Explainable AI (XAI) for Network Operations and Troubleshooting","… Our objective is to introduce a conceptual framework to include XAI into AIOps pipelines and therefore, we carry out its evaluation using the use cases in the fault detection, anomaly …"
"Proactive Cloud Operations: Leveraging Predictive Orchestration and Generative AI for Observability and Incident Mitigation","… The industry's response has been the rise of AIOps (Artificial Intelligence for IT Operations), which applies machine learning to operational data. Early AIOps platforms have focused …"
"Network Connection Management Based on the Integration of Artificial Intelligence for IT Operations and Threat Intelligence Databases","… Therefore, the main contributions of this article are: (A) Integration of multi-source Threat Intelligence into AIOps, the proposal embeds public cyber threat intelligence into the AIOps …"
"Embracing The Opportunity Of Artificial Intelligence For IT Operations In The South African Mobile Network Industry","… driving determinants influencing the adoption of AIOPS in the South African mobile network … significant reason for the application of AIOPS in the mobile industry Artificial intelligence is …"
"Automation And Intelligence In IT Operation Management: Machine Learning for Capacity Planning and Load Testing Optimization","… AIOps (… AIOps system. These tools will act as intermediaries for monitoring and maintaining large scale systems. This integration will establish a fully managed architecture, where AIOps …"
"Artificial Intelligence-Driven Optimization of DevOps and Cloud Infrastructure: A Comprehensive Review of Intelligent Automation, Predictive Analytics, and IT Service …","… AI-driven DevOps, often referred to as AIOps, represents the confluence of machine learning (ML… AIOps leverages historical performance metrics, real-time monitoring data, and anomaly …"
"Agent-Based Intelligent Operations and Maintenance for Artificial Intelligence Data Centers","… challenges faced by the traditional O&M model in AIDCs, academia and industry are exploring a more advanced operational paradigm: Agent-based Operations, also known as AIOps. …"
"[PDF] FRAMEWORK FOR AUTOMATED LOG ANOMALY","… The proposed system offers a transparent, deployable alternative to heavyweight AI models, aligning with the operational goals of AIOps for dependable and interpretable anomaly …"
"A Unified AI System For Data Quality Control and DataOps Management in Regulated Environments","… , these stages are interconnected and form the backbone of a trustworthy DataOps and AIOps ecosystem. Automating these steps is essential because data quality, model performance, …"
"[PDF] Using Natural Language Processing for Log Analysis and Automated Alert Prioritization","… automated alert prioritization within enterprise IT and AIOps platforms. By leveraging text preprocessing… to the broader adoption of AI-driven operations (AIOps) in modern IT ecosystems. …"
"Autonomous Incident Handling in Regulatedfinancial Systems: A Closed-loop Ai Frameworkfor Kubernetes Environments","… Although the application of AIOps technologies has significantly enhanced the process of identifying anomalies and correlating the alerts, in most cases, the production scenarios rely …"
"The Evolution of Release Engineering: From Manual Deployments to Fully Automated Cloud Pipelines","… One of the trends of all interviews was AI explainability: Although we realized that AIOps offered a great improvement in both the reliability and compliance teams were not convinced …"
"Artificial intelligence for IT operations and operations management: An exploration","… (2021) address barriers to AIOps adoption and advocate for collaborative efforts to unify … or network analysis in evaluating the state of AIOps literature among reviewed publications. …"
"[PDF] AI-Driven Performance Tuning of Jenkins Pipelines in Scalable DevOps Environments","… Ultimately, the research contributes to the growing field of AIOps by showcasing how AI-enhanced automation in DevOps environments can lead to higher software delivery velocity, …"
"[PDF] Застосування концепцій Observability та AIOps для інтелектуального аналізу подій моніторингу ІТ-інфраструктури","Пояснювальна записка кваліфікаційної роботи магістра студента групи М КН 2024-1 спеціальності 122 (F3)«Комп’ютерні науки» Малого Андрія Юрійовича на тему «…"
"AI-Augmented Devsecops Security: Integrating Neural Vulnerability Detection, Adaptive Learning, And Policy-Driven Automation Across Modern CI/CD Pipelines","… cloud-native security automation, and AIOps-enabled operational intelligence. Drawing exclusively … ecosystems, and the emerging importance of AIOps in enabling self-healing pipeline …"
"Die IT wird künftig noch eigenständiger werden: Die IT wird künftig noch eigenständiger werden","… AIOps-Systeme machen die Netzüberwachung aber nicht nur effizienter, sondern ermöglichen auch einen komplett anderen Umgang mit Know-how: Durch die Integration von …"
"[PDF] From Detection to Enforcement: AI-Driven Control Planes for Secure Cloud-Native Linux Infrastructure","… The application of AI to IT operations (AIOps) has matured significantly. Sannareddy (2024) … This work moves beyond traditional AIOps systems that rely on static rules, demonstrating …"
"Research on Big Data Analysis and Anomaly Detection Algorithms in Intelligent Operations and Maintenance","… This article examines the importance of intelligent operation and maintenance (AIOps) in the context of complex and large-scale modern IT infrastructure, especially in the application of …"
"[PDF] COGNITIVE AGENTS IN DEVOPS: TRANSFORMING OBSERVABILITY, INCIDENT RESPONSE, AND POLICY-AWARE AUTOMATION","This work introduces the Cognitive DevOps Assistant (CDA)—an intelligent AI system designed to help SRE and DevSecOps teams manage the growing complexity of modern …"
"AI-Driven Predictive Maintenance Framework for Cloud-Native Financial Systems.","… directions include reinforcement learning-based self-healing orchestration, federated learning for collaborative model development across institutions, and integration with AIOps …"
"AI-Augmented Root Cause Analysis: Autonomous Inference Engine for Multi-Layered System Outages","… Our work builds on the ideas of AIOps and self-healing by introducing an autonomous inference engine that blends causal modeling, real-time learning, and system topology awareness …"
