File Name,Summary,Published At,Published Date
ITSM_Ticket_Classification_Framework.pdf,"Centroid-based framework for text classification in ITSM environments.",arXiv,2025
Java_Call_Graph_Comparison_Guide.pdf,"Guide for preparing and comparing Java call graphs for software analysis.",Acta Cybernetica,2019
Joshi_Agentic_AI_Multi_Agent_Enterprise.pdf,"Review of autonomous agentic AI and MAS for enterprise applications.",IJIREM,2025
Joshi_AI_Agent_Frameworks_Financial_Services.pdf,"Comprehensive survey of AI agent frameworks and financial service applications.",Preprints.org,2025
Kosiganti_Application_Maintenance_and_Support.pdf,"Study on strategies and practices for application maintenance and support.",ResearchGate,2014
Lientz_Characteristics_Software_Maintenance.pdf,"Classic study on the characteristics and costs of software maintenance.",Communications of the ACM,1978
Lientz_Swanson_Software_Maintenance_Problems.pdf,"Survey identifying common problems in application software maintenance.",Communications of the ACM,1981
LLM_Policy_Generation_Intent_Management.pdf,"Using LLMs for policy generation in intent-based application management.",IEEE CNSM,2023
LLMOps_AgentOps_MLOps_GenAI_Review.pdf,"Review of operational methodologies (MLOps, LLMOps, AgentOps) for GenAI.",IJCATR,2025
Microservice_Log_Root_Cause_Analysis.pdf,"Root-cause analysis in microservices via log anomaly detection.",IEEE/ACM,2020
Multi-Agent_Systems_Comprehensive_Survey.pdf,"General survey of multi-agent systems and their applications.",IEEE Access,2018
Multiagent_Systems_and_Agentic_AI_Journal.pdf,"Multi-expert analysis of AI agents and agentic systems.",Journal of Computer Information Systems,2025
NonInvasive_Silent_Speech_Recognition.pdf,"Silent speech recognition system using non-invasive sensors and ML.",NeurIPS,2019
Pati_Agentic_AI_Comprehensive_Survey.pdf,"Survey of technologies, applications, and societal implications of Agentic AI.",IEEE Access,2025
Predictive_Maintenance_Industry_4.0_Overview.pdf,"Overview of predictive maintenance models and challenges in Industry 4.0.",Applied Sciences,2022
Role_of_Agentic_AI_Survey.pdf,"Survey on the role of Agentic AI in future computing environments.",arXiv,2025
SRE_Llama_Autonomous_SLI_SLO.pdf,"Platform for automated SLI/SLO generation using fine-tuned Llama models.",arXiv,2025
Survey_of_Computer_Use_Agents_arXiv.pdf,"Comprehensive survey of agents designed for autonomous computer use.",arXiv,2025
TRISM_Framework_for_Multi-Agent_AI.pdf,"Review of Trust, Risk, and Security Management (TRiSM) in agentic systems.",arXiv,2025
Trustworthy_Multi-Turn_Agents_Behavioral_Guidance.pdf,"Framework for trustworthy multi-turn LLM agents via behavioral guidance.",arXiv,2025
Why_Do_You_Grok.pdf,"Theoretical analysis of the 'grokking' phenomenon in modular addition.",ICML,2024
